"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Note","Rank","Parent_name","Parent_NCBI_ID","Parent_rank","Confidence_in_curation"
358,NA,NA,"Agrobacterium tumefaciens","mutation rate per site per generation",2.92,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Agrobacterium",357,"genus","High"
1667,NA,NA,"Arthrobacter sp","mutation rate per site per generation",3.18,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Arthrobacter",1663,"genus","High"
1423,NA,NA,"Bacillus subtilis","mutation rate per site per generation",3.28,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Bacillus",1386,"genus","High"
95486,NA,NA,"Burkholderia cenocepacia","mutation rate per site per generation",1.33,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Burkholderia",32008,"genus","High"
155892,NA,NA,"Caulobacter crescentus","mutation rate per site per generation",3.46,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Caulobacter",75,"genus","High"
28229,NA,NA,"Colwellia psychrerythraea","mutation rate per site per generation",8.38,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Colwellia",28228,"genus","High"
1299,NA,NA,"Deinococcus radiodurans","mutation rate per site per generation",4.99,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Deinococcus",1298,"genus","High"
562,NA,NA,"Escherichia coli","mutation rate per site per generation",2.54,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Escherichia",561,"genus","High"
239,NA,NA,"Flavobacterium sp","mutation rate per site per generation",3.91,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Flavobacterium",237,"genus","High"
114,NA,NA,"Gemmata obscuriglobus","mutation rate per site per generation",2.38,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Gemmata",113,"genus","High"
29581,NA,NA,"Janthinobacterium lividum","mutation rate per site per generation",1.22,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Janthinobacterium",29580,"genus","High"
131568,NA,NA,"Kineococcus radiotolerans","mutation rate per site per generation",3.9,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Kineococcus",33981,"genus","High"
1358,NA,NA,"Lactococcus lactis","mutation rate per site per generation",16.6,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Lactococcus",1357,"genus","High"
2151,NA,NA,"Mesoplasma florum","mutation rate per site per generation",97.8,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Mesoplasma",46239,"genus","High"
1271,NA,NA,"Micrococcus sp","mutation rate per site per generation",3.18,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Micrococcus",1269,"genus","High"
1772,NA,NA,"Mycobacterium smegmatis","mutation rate per site per generation",5.27,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Mycolicibacterium",1866885,"genus","High"
287,NA,NA,"Pseudomonas aeruginosa","mutation rate per site per generation",0.792,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Pseudomonas",286,"genus","High"
1063,NA,NA,"Rhodobacter sphaeroides","mutation rate per site per generation",1.17,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Cereibacter",1653176,"genus","High"
89184,NA,NA,"Ruegeria pomeroyi","mutation rate per site per generation",1.39,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Ruegeria",97050,"genus","High"
28901,NA,NA,"Salmonella enterica","mutation rate per site per generation",7,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Salmonella",590,"genus","High"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per generation",4.38,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Staphylococcus",1279,"genus","High"
1282,NA,NA,"Staphylococcus epidermidis","mutation rate per site per generation",7.4,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Staphylococcus",1279,"genus","High"
2426,NA,NA,"Teredinibacter turnerae","mutation rate per site per generation",11.4,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Teredinibacter",2425,"genus","High"
666,NA,NA,"Vibrio cholerae","mutation rate per site per generation",1.07,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Vibrio",662,"genus","High"
668,NA,NA,"Vibrio fischeri","mutation rate per site per generation",2.07,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Aliivibrio",511678,"genus","High"
689,NA,NA,"Vibrio shilonii","mutation rate per site per generation",2.29,"Gibson_2018","exp","sometimes","Mutation Rate/site/generation (x10-10)","species","Vibrio",662,"genus","High"
